ROI;Condition;Subject;Depth;PSC
V3;PS;3;7;-1.3681913709603517
V3;PS;3;8;-1.5698378549925442
V3;PS;3;9;-1.8706177383420952
V3;PS;3;10;-2.0662888962147656
V3;PS;4;0;-0.8673506416533123
V3;PS;4;1;-0.9946634878411635
V3;PS;4;2;-1.1963474227799997
V3;PS;4;3;-1.4210122927659037
V3;PS;4;4;-1.6708260488254858
V3;PS;4;5;-1.9827081639836142
V3;PS;4;6;-2.414946518652003
V3;PS;4;7;-2.9705195327036993
V3;PS;4;8;-3.689182287195514
V3;PS;4;9;-4.4131303747354425
V3;PS;4;10;-4.791336062580915
V3;PS;5;0;-0.7546171602818534
V3;PS;5;1;-0.7761170325561614
V3;PS;5;2;-0.8347644433496804
V3;PS;5;3;-0.9376401741320216
V3;PS;5;4;-1.0861365255541744
V3;PS;5;5;-1.2678733022488802
V3;PS;5;6;-1.469999373992551
V3;PS;5;7;-1.6692460954700679
V3;PS;5;8;-1.8676247421759524
V3;PS;5;9;-2.049675549316483
V3;PS;5;10;-2.1556977867483313
V3;PS;6;0;-0.18214977320932443
V3;PS;6;1;-0.18811558935229522
V3;PS;6;2;-0.19383835064974264
V3;PS;6;3;-0.1490039487684709
V3;PS;6;4;-0.1177548720375781
V3;PS;6;5;-0.1372596797281857
V3;PS;6;6;-0.2014011170740853
V3;PS;6;7;-0.30351225372884505
V3;PS;6;8;-0.39638133428548283
V3;PS;6;9;-0.3845659594707536
V3;PS;6;10;-0.3360639334493135
V3;CD;0;0;-0.5191365935451935
V3;CD;0;1;-0.586027010999744
V3;CD;0;2;-0.7509265668716488
V3;CD;0;3;-0.9581064431330837
V3;CD;0;4;-1.1852400251442594
V3;CD;0;5;-1.4437897056466895
V3;CD;0;6;-1.7714208942618948
V3;CD;0;7;-2.149373894373512
V3;CD;0;8;-2.5617582874343063
V3;CD;0;9;-2.974790092041744
V3;CD;0;10;-3.1369334337179495
V3;CD;1;0;-0.8457181422408865
V3;CD;1;1;-0.9850366321700692
V3;CD;1;2;-1.263787368692411
V3;CD;1;3;-1.5499859980569735
V3;CD;1;4;-1.8106162489719715
V3;CD;1;5;-2.0569255324878926
V3;CD;1;6;-2.3433832317769387
V3;CD;1;7;-2.680349417717037
V3;CD;1;8;-3.101025258024279
V3;CD;1;9;-3.4929832538084034
V3;CD;1;10;-3.646257417477842
V3;CD;2;0;0.020524263104202446
V3;CD;2;1;0.013547348160239362
V3;CD;2;2;-0.0006842889517421317
V3;CD;2;3;-0.03289186875945436
V3;CD;2;4;-0.08021518187713504
V3;CD;2;5;-0.11739053861788161
V3;CD;2;6;-0.112751614355748
V3;CD;2;7;-0.06447277524173588
V3;CD;2;8;0.017907739759940176
V3;CD;2;9;0.08163692636165526
V3;CD;2;10;0.08524046207744009
V3;CD;3;0;-0.5251309526613949
V3;CD;3;1;-0.5970945800423911
V3;CD;3;2;-0.7213254880556389
V3;CD;3;3;-0.7928993750492743
V3;CD;3;4;-0.8329362177786509
V3;CD;3;5;-0.8613437323466703
V3;CD;3;6;-0.8962687309533127
V3;CD;3;7;-0.9035089620016268
V3;CD;3;8;-0.8822955488702948
V3;CD;3;9;-0.8907759415834939
V3;CD;3;10;-0.9239391374907695
V3;CD;4;0;-0.6675774244094692
V3;CD;4;1;-0.7670389037735135
V3;CD;4;2;-0.9488217806984353
V3;CD;4;3;-1.1589573044637451
V3;CD;4;4;-1.3897140102398373
V3;CD;4;5;-1.6703574772264647
V3;CD;4;6;-2.063766886055541
V3;CD;4;7;-2.579000813982123
V3;CD;4;8;-3.2435964038210052
V3;CD;4;9;-3.915783331904902
V3;CD;4;10;-4.254390215853752
V3;CD;5;0;-0.2987715537416491
V3;CD;5;1;-0.3307081388417731
V3;CD;5;2;-0.39467036307804015
V3;CD;5;3;-0.4923964207202807
V3;CD;5;4;-0.6224366161227811
V3;CD;5;5;-0.7772992663954609
V3;CD;5;6;-0.9288308032675788
V3;CD;5;7;-1.0740684108260659
V3;CD;5;8;-1.2066568413106677
V3;CD;5;9;-1.311359847334277
V3;CD;5;10;-1.364335055257789
V3;CD;6;0;-0.35386798222447424
V3;CD;6;1;-0.34351527177732416
V3;CD;6;2;-0.3432304913193094
V3;CD;6;3;-0.3298798328034721
V3;CD;6;4;-0.31820729888662186
V3;CD;6;5;-0.3239602505759548
V3;CD;6;6;-0.3416751548124273
V3;CD;6;7;-0.3387587372108985
V3;CD;6;8;-0.32338162637242884
V3;CD;6;9;-0.3181588089589208
V3;CD;6;10;-0.30411650923942013
