ROI;Condition;Subject;Depth;PSC
V3;PD;4;2;-0.8156747267552534
V3;PD;4;3;-1.0451044747751697
V3;PD;4;4;-1.3000167868742192
V3;PD;4;5;-1.5919673438560114
V3;PD;4;6;-1.975327701887025
V3;PD;4;7;-2.45231125216787
V3;PD;4;8;-3.074567408203073
V3;PD;4;9;-3.693814044058214
V3;PD;4;10;-4.012379580246192
V3;PD;5;0;-0.3488857071782582
V3;PD;5;1;-0.389944528122833
V3;PD;5;2;-0.49323214035679314
V3;PD;5;3;-0.6033568207835757
V3;PD;5;4;-0.7062844181854031
V3;PD;5;5;-0.7928613167189615
V3;PD;5;6;-0.8423027601610994
V3;PD;5;7;-0.8705655289158604
V3;PD;5;8;-0.8843501704590124
V3;PD;5;9;-0.8935169803751428
V3;PD;5;10;-0.9083671717829955
V3;PD;6;0;-0.09257911696317156
V3;PD;6;1;-0.10001713392294746
V3;PD;6;2;-0.1447484660876104
V3;PD;6;3;-0.21454220305836139
V3;PD;6;4;-0.28649809249504843
V3;PD;6;5;-0.3329194444200996
V3;PD;6;6;-0.3545135567272658
V3;PD;6;7;-0.3481249850891894
V3;PD;6;8;-0.33268719933024765
V3;PD;6;9;-0.28870328178228977
V3;PD;6;10;-0.23515133442333738
V3;PS;0;0;-0.7022118592937687
V3;PS;0;1;-0.7885704370032138
V3;PS;0;2;-0.9855165336832677
V3;PS;0;3;-1.2366609696974193
V3;PS;0;4;-1.5067051938620406
V3;PS;0;5;-1.793703457887356
V3;PS;0;6;-2.1319857326543503
V3;PS;0;7;-2.5133185491091776
V3;PS;0;8;-2.96074893240884
V3;PS;0;9;-3.4149970282107054
V3;PS;0;10;-3.5953409056524452
V3;PS;1;0;-0.7785825987970034
V3;PS;1;1;-0.919932873208343
V3;PS;1;2;-1.1848038168637922
V3;PS;1;3;-1.4428208187037115
V3;PS;1;4;-1.6931010304786716
V3;PS;1;5;-1.9703209606423835
V3;PS;1;6;-2.3191711485373956
V3;PS;1;7;-2.7248927524212
V3;PS;1;8;-3.194537709744801
V3;PS;1;9;-3.6064996391833772
V3;PS;1;10;-3.7582622584059293
V3;PS;2;0;-0.5921089556794319
V3;PS;2;1;-0.6314274459617805
V3;PS;2;2;-0.6985021384976295
V3;PS;2;3;-0.7603204488752763
V3;PS;2;4;-0.8225760499617054
V3;PS;2;5;-0.8805207385984428
V3;PS;2;6;-0.9222399561945414
V3;PS;2;7;-0.948497049563594
V3;PS;2;8;-0.9493907354930928
V3;PS;2;9;-0.951762731315455
V3;PS;2;10;-0.9836371753408637
V3;PS;3;0;-0.5895913590071585
V3;PS;3;1;-0.6770841069514641
V3;PS;3;2;-0.821348424970953
V3;PS;3;3;-0.9415023390931332
V3;PS;3;4;-1.034672300556493
V3;PS;3;5;-1.1233131211108573
V3;PS;3;6;-1.2388347817064078
V3;PS;3;7;-1.3819368773909075
V3;PS;3;8;-1.5968172224747288
V3;PS;3;9;-1.9042848838720796
V3;PS;3;10;-2.0944570901245116
V3;PS;4;0;-0.8742718061348389
V3;PS;4;1;-0.9948392710396204
V3;PS;4;2;-1.1906118100964795
V3;PS;4;3;-1.4102417295766652
V3;PS;4;4;-1.6531214546292903
V3;PS;4;5;-1.9581828326114101
V3;PS;4;6;-2.3846047098722463
V3;PS;4;7;-2.9375497857123687
V3;PS;4;8;-3.6549742739299202
V3;PS;4;9;-4.380035931451919
V3;PS;4;10;-4.7636724458573125
V3;PS;5;0;-0.8642179435197399
V3;PS;5;1;-0.8691449360699511
V3;PS;5;2;-0.9001785293001758
V3;PS;5;3;-0.9732254184072797
V3;PS;5;4;-1.0697355518708382
V3;PS;5;5;-1.1878439350004677
V3;PS;5;6;-1.3125911614441723
V3;PS;5;7;-1.4337618353521364
V3;PS;5;8;-1.5543060035859753
V3;PS;5;9;-1.6735207679757078
V3;PS;5;10;-1.756754079825026
V3;PS;6;0;-0.32931629257740025
V3;PS;6;1;-0.34292056070933835
V3;PS;6;2;-0.3684071644805564
V3;PS;6;3;-0.36138967870636096
V3;PS;6;4;-0.3697203270511786
V3;PS;6;5;-0.40890175430617826
V3;PS;6;6;-0.48190195261439867
V3;PS;6;7;-0.5731581350724068
V3;PS;6;8;-0.6471379540781469
V3;PS;6;9;-0.6418845925456592
V3;PS;6;10;-0.6062558393780849
V3;CD;0;0;-0.5767840230574297
V3;CD;0;1;-0.6407120989449073
V3;CD;0;2;-0.7985285704819435
V3;CD;0;3;-0.9990674976524964
V3;CD;0;4;-1.2222831399653336
V3;CD;0;5;-1.4779342429918003
V3;CD;0;6;-1.7989335739974532
V3;CD;0;7;-2.17219976033146
V3;CD;0;8;-2.5950252738532185
V3;CD;0;9;-3.0061685713851793
V3;CD;0;10;-3.15817211927196
V3;CD;1;0;-0.953740595605977
V3;CD;1;1;-1.0831570188142206
V3;CD;1;2;-1.3329732685026663
V3;CD;1;3;-1.608314114751548
V3;CD;1;4;-1.8772734498307342
V3;CD;1;5;-2.163992426541396
V3;CD;1;6;-2.525188850488397
V3;CD;1;7;-2.9513439040634912
V3;CD;1;8;-3.4390964695075548
V3;CD;1;9;-3.8584934864037708
V3;CD;1;10;-4.001784568528234
V3;CD;2;0;0.05554881593011734
V3;CD;2;1;0.04001257108050977
V3;CD;2;2;0.01057736532334121
V3;CD;2;3;-0.026095185239648728
V3;CD;2;4;-0.06629437719182604
V3;CD;2;5;-0.0859959542822249
V3;CD;2;6;-0.04821192952070955
V3;CD;2;7;0.04558808597503087
V3;CD;2;8;0.19206441504555083
V3;CD;2;9;0.32481091091431313
V3;CD;2;10;0.3679951266331532
V3;CD;3;0;-0.5294464279406926
V3;CD;3;1;-0.600024359750357
V3;CD;3;2;-0.725284745238008
V3;CD;3;3;-0.8031716938198049
V3;CD;3;4;-0.8579998205065694
V3;CD;3;5;-0.9080333632924666
V3;CD;3;6;-0.9726904304861491
V3;CD;3;7;-1.0144509139619498
V3;CD;3;8;-1.0329675801175926
V3;CD;3;9;-1.0827199551600497
V3;CD;3;10;-1.131104963821553
V3;CD;4;0;-0.6599488261867777
V3;CD;4;1;-0.7564255541883971
V3;CD;4;2;-0.935806003538088
V3;CD;4;3;-1.1442153575315468
V3;CD;4;4;-1.374056064275665
V3;CD;4;5;-1.6536842496470512
V3;CD;4;6;-2.0432786624569204
V3;CD;4;7;-2.553141450460044
V3;CD;4;8;-3.210972861013212
V3;CD;4;9;-3.8801141881864054
V3;CD;4;10;-4.220722642644575
V3;CD;5;0;-0.3160178187144162
V3;CD;5;1;-0.35444115428295875
V3;CD;5;2;-0.44606426309527114
V3;CD;5;3;-0.548985154805664
V3;CD;5;4;-0.653545165987947
V3;CD;5;5;-0.7618458564352882
V3;CD;5;6;-0.862193200203228
V3;CD;5;7;-0.9474002784975439
V3;CD;5;8;-1.023655039605016
V3;CD;5;9;-1.0828351261323297
V3;CD;5;10;-1.1274015386107805
V3;CD;6;0;-0.3699496027995524
V3;CD;6;1;-0.3756175903513441
V3;CD;6;2;-0.3847967788927689
V3;CD;6;3;-0.37752431064101455
V3;CD;6;4;-0.3628642803013877
V3;CD;6;5;-0.35422164479592844
V3;CD;6;6;-0.34496307796254766
V3;CD;6;7;-0.3261211871484806
V3;CD;6;8;-0.3073476490201902
V3;CD;6;9;-0.29753331720049836
V3;CD;6;10;-0.28701884161958385
